TaxDistrict,Bldg_Millage_2012,Land_Millage_2012
ALEPPO,5,
ASPINWALL,6.25,
AVALON,9.01,
BALDWIN BORO,6.61,
BALDWIN TOWNSHIP,9.5,
BELL ACRES,5,
BELLEVUE,7,
BEN AVON,5.6,
BEN AVON HEIGHTS,6.5,
BETHEL PARK,2.93,
BLAWNOX,9.74,
BRACKENRIDGE,5.77,
BRADDOCK,13.7,
BRADDOCK HILLS,7,
BRADFORD WOODS,2.225,
BRENTWOOD,8.5,
BRIDGEVILLE,6.75,
CARNEGIE,7.2,
CASTLE SHANNON,9.4,
CHALFANT,6.9,
CHESWICK,6.82,
CHURCHILL,5.75,
CLAIRTON,2.22,33
COLLIER,3.5,
CORAOPOLIS,10.5,
CRAFTON,8.75,
CRESCENT,6.5,
DORMONT,14,
DRAVOSBURG,7.315,
DUQUESNE,13.47,19
EAST DEER,6,
EAST MCKEESPORT,8.1,
EAST PITTSBURGH,15.15,
EDGEWOOD,8.161,
EDGEWORTH,5.4,
ELIZABETH BORO,8,
ELIZABETH TOWNSHIP,4.429,
EMSWORTH,5,
ETNA,9,
FAWN,3.5,
FINDLAY,1.95,
FOREST HILLS,8.35,
FORWARD,2.95,
FOX CHAPEL,2.4,
FRANKLIN PARK,1.283,
FRAZER,1.55,
GLASSPORT,8.99,
GLENFIELD,4.15,
GLEN OSBORNE,6,
GREENTREE,4.35,
HAMPTON,2.5045,
HARMAR,5,
HARRISON,5.25,
HAYSVILLE,5.5,
HEIDELBERG,8.5,
HOMESTEAD,13,
INDIANA,3.25,
INGRAM,7.5,
JEFFERSON,5.63,
KENNEDY,1.95,
KILBUCK,6.5,
LEET,7,
LEETSDALE,10,
LIBERTY,5,
LINCOLN,8.55,
MARSHALL,1.7,
MCCANDLESS,1.5,
MCDONALD,40.75,
MCKEESPORT,4.26,16.5
MCKEES ROCKS,8,
MILLVALE,9,
MONROEVILLE,2.2,
MOON,3.28,
MT. LEBANON,5.43,
MT. OLIVER,13.5,
MUNHALL,10.75,
NEVILLE,4.75,
NORTH BRADDOCK,11,
NORTH FAYETTE,3.9,
NORTH VERSAILLES,8,
OAKDALE,4,
OAKMONT,4.5,
O'HARA,2.2,
OHIO,2.75,
PENN HILLS,5.6,
PENNSBURY VILLAGE,5.9,
PINE,1.2,
PITCAIRN,5.75,
PITTSBURGH,10.8,
PLEASANT HILLS,6.607,
PLUM,4.3,
PORT VUE,7.86,
RANKIN,13.8,
RESERVE,5.24,
RICHLAND,2.75,
ROBINSON,3.05,
ROSS,3,
ROSSLYN FARMS,9.975,
SCOTT,5,
SEWICKLEY,7.3,
SEWICKLEY HEIGHTS,3.75,
SEWICKLEY HILLS,3,
SHALER,3.05,
SHARPSBURG,8.5,
SOUTH FAYETTE,3.84,
SOUTH PARK,3.6,
SOUTH VERSAILLES,4.2,
SPRINGDALE BORO,6.5,
SPRINGDALE TOWNSHIP,6.5,
STOWE,11.25,
SWISSVALE,10.1,
TARENTUM,5.48,
THORNBURG,6.5,
TRAFFORD,28.5,
TURTLE CREEK,8.5,
UPPER ST. CLAIR,4.6,
VERONA,8,
VERSAILLES,8,
WALL,8,
WEST DEER,2.35,
WEST ELIZABETH,6,
WEST HOMESTEAD,9.31,
WEST MIFFLIN,7.27,
WEST VIEW,6.68,
WHITAKER,9.58,
WHITEHALL,5.5,
WHITE OAK,5.66,
WILKINS,5.513,
WILKINSBURG,14,
WILMERDING,8,
