SchoolDesc,Millage_2011,Land,Notes (Correx Names)
Allegheny Valley,23.4600,,
Avonworth,20.0000,,
Baldwin Whitehall,23.4000,,
Bethel Park,24.9700,,
Brentwood Boro,28.2700,,
Carlynton,24.1500,,
Chartiers Valley,19.8800,,
City Of Pittsburgh,13.9200,,
Clairton City,3.5000,87.0000,
Cornell,25.9550,,
Deer Lakes,26.6900,,
Duquesne City,21.1000,,Duquesne Area
East Allegheny,27.5400,,
Elizabeth Forward,25.0118,,
Fox Chapel Area,21.5576,,
Hampton Township,21.3500,,
Highlands,24.4100,,
Keystone Oaks,22.0300,,
McDonald,118.5000,,Fort Cherry
McKeesport Area,17.0500,,
Monroeville Gateway,21.0200,,Gateway
Montour,18.9000,,
Moon Area,21.3000,,
Mt Lebanon,26.6300,,
North Allegheny,20.2600,,
Northgate,28.6000,,
North Hills,20.9100,,
Penn Hills Twp,24.8100,,Penn Hills
Pine-Richland,21.9084,,
Plum Boro,22.2000,,Plum
Quaker Valley,20.9500,,
Riverview,24.7864,,
Shaler Area,25.6300,,
South Allegheny,18.4900,,
South Fayette Twp,27.8330,,South Fayette
South Park,25.9900,,
Steel Valley,24.1686,,
Sto-Rox,25.0000,,
Trafford,14.1500,,Penn-Trafford
Upper St Clair,24.1000,,
West Allegheny,22.0000,,
West Jefferson,21.0800,,
West Mifflin Area,22.9920,,
Wilkinsburg Boro,35.0000,,
Woodland Hills,25.6500,,
